施設ID,施設GID,施設FID
ChIJg1-JEJ6MGGARrB4dxlQWF28,ChIJg1-JEJ6MGGARrB4dxlQWF28,0x60188c9e10895f83:0x6f171654c61d1eac
ChIJLR77_xCLGGARDUvxvz3V3f4,ChIJLR77_xCLGGARDUvxvz3V3f4,0x60188b10fffb1e2d:0xfeddd53dbff14b0d
ChIJ2X1R_uOLGGARsSertshR94c,ChIJ2X1R_uOLGGARsSertshR94c,0x60188be3fe517dd9:0x87f751c8b6ab27b1
ChIJowmZLGiNGGARmibG7Z6Nf34,ChIJowmZLGiNGGARmibG7Z6Nf34,0x60188d682c9909a3:0x7e7f8d9eedc6269a
ChIJoYHpydqMGGARiNgUtjUxyIg,ChIJoYHpydqMGGARiNgUtjUxyIg,0x60188cdac9e981a1:0x88c83135b614d888
ChIJWZBgrd7tGGARr5zsXZdjpt8,ChIJWZBgrd7tGGARr5zsXZdjpt8,0x6018eddead609059:0xdfa663975dec9caf
ChIJbc-0BwbxGGARTgaoblLMwYI,ChIJbc-0BwbxGGARTgaoblLMwYI,0x6018f10607b4cf6d:0x82c1cc526ea8064e
ChIJA6-6WZuRQTURvXciXBldJRo,ChIJA6-6WZuRQTURvXciXBldJRo,0x3541919b59baaf03:0x1a255d195c2277bd
ChIJVVVF4tZ_GGARo-X3rWmVT8w,ChIJVVVF4tZ_GGARo-X3rWmVT8w,0x60187fd6e2455555:0xcc4f9569adf7e5a3
ChIJVQz-bmaLGGARg6AH4K9Ux1U,ChIJVQz-bmaLGGARg6AH4K9Ux1U,0x60188b666efe0c55:0x55c754afe007a083
ChIJuyJ4UAyRQTURvGrD1kgaklM,ChIJuyJ4UAyRQTURvGrD1kgaklM,0x3541910c507822bb:0x53921a48d6c36abc
ChIJm77s2y2WQzURY4llzInBXCs,ChIJm77s2y2WQzURY4llzInBXCs,0x3543962ddbecbe9b:0x2b5cc189cc658963
ChIJdfC0i02_QzURyPfx5hlNmx0,ChIJdfC0i02_QzURyPfx5hlNmx0,0x3543bf4d8bb4f075:0x1d9b4d19e6f1f7c8
ChIJsRVb8VGkQTURoy4nToCcu04,ChIJsRVb8VGkQTURoy4nToCcu04,0x3541a451f15b15b1:0x4ebb9c804e272ea3
ChIJAQBQgVDEAGARWcVJd3bQWU8,ChIJAQBQgVDEAGARWcVJd3bQWU8,0x6000c45081500001:0x4f59d0767749c559
ChIJt45D_pLmAGARClH00l00lIk,ChIJt45D_pLmAGARClH00l00lIk,0x6000e692fe438eb7:0x8994345dd2f4510a
ChIJhV8LOjnuGGAREcUngpOXccg,ChIJhV8LOjnuGGAREcUngpOXccg,0x6018ee393a0b5f85:0xc87197938227c511
ChIJrWffBOOOAGARdAs56MgbuH8,ChIJrWffBOOOAGARdAs56MgbuH8,0x60008ee304df67ad:0x7fb81bc8e8390b74
ChIJIQ7RxeWOAGARKc4c8aSGSIM,ChIJIQ7RxeWOAGARKc4c8aSGSIM,0x60008ee5c5d10e21:0x834886a4f11cce29
ChIJN8Y2LFQoVTUR702kogTzn3k,ChIJN8Y2LFQoVTUR702kogTzn3k,0x355528542c36c637:0x799ff304a2a44def
